id,word,definition
8367,Potholes,deep holes in a roads surface that are formed by weather or traffic
8368,Potion,a combination of liquid ingredients that has medicinal or magical powers
8369,Potluck,a party or event in which every participant brings a different dish for the guests
8370,Potpourri ,a collection of various things
8371,Pouch,a typically flexible small bag used for storage of equally small objects
8372,Poultice,"a soft, heated and medicated substance, that is spread on cloth over the skin to treat an aching, inflamed, or painful part of the body"
8373,Poultry,domestic birds kept by humans for the purpose of eating
8374,Pounce,a sudden leap or bound a predator uses to catch its prey
8375,Pound,to hit or strike something with heavy force
8376,Pout,to push one’s lips out to show irritation or annoyance
8377,Pout,to thrust out ones lips expressing displeasure
8378,Poverty,the state of having little money or possessions
8379,Power of attorney,a legal document one can use to appoint someone to make decisions on their behalf
8380,Power,to supply a device with energy
8381,Powerful,to be influential and dominant
8382,Powerless,"without power; weak, unable to do something"
8383,Practicable,that can be put into practice; feasible
8384,Practical,sensible
8385,Practice,to repeatedly carry out a practice or skill so that one can improve
8386,Pragmatic,concentrating on practical results and facts instead of speculation and opinion
8387,Prairie,an extensive area of relatively flat grassland
8388,Praise,"to express approval, love, or admiration for something"
8389,Prance,to strut around in a lively way to impress others
8390,Prate,talking for a long time without purpose
8391,Pratfall,a humiliating mistake
8392,Prattle,talking for a long period of time about insignificant things
8393,Praxis,traditional conduct or practices
8394,Preamble,an opening announcement used to describe what is about to be read or said
8395,Prearrange,to agree or arrange something beforehand
8396,Precarious,"unstable, dangerous or difficult"
8397,Precaution,a measure taken in advance to protect against danger or trouble
8398,Precede,to occur before something else
8399,Precedent,an earlier event or action that is regarded as an example
8400,Precept,a rule that sets the pattern for one’s behavior
8401,Precinct,an area of town reserved for police or voting purposes
8402,Precious,"valuable or important, typically for sentimental reasons"
8403,Precipice,"a point where danger, trouble, or difficulty begins"
8404,Precipitate,to bring about especially abruptly
8405,Precipitation,"water that falls to the earth, especially in the form of rain or snow"
8406,Precipitous,done rapidly without thinking
8407,Precise,exact and correct
8408,Precisely ,specifically; in exact terms
8409,Precision,the quality of accuracy or exactness
8410,Preclude,to prevent it from happening
8411,Precocious,having mature qualities at an unusually early age
8412,Precognition,prior knowledge of an event before it happens
8413,Preconceived ,"an idea or opinion that is formed before having the information, evidence, or experience to back up its truthfulness"
8414,Precursor,something that happens before something else
8415,Predate,to designate a date earlier than the actual one
8416,Predation,the preying of one animal on others
8417,Predator,an organism that preys on other creatures
8418,Predatory,associated with stealing or taking advantage of other people for private gain
8419,Predawn,happening before the sun comes up (dawn)
8420,Predecessor ,an individual who holds a position before another person
8421,Predestination,the doctrine that everything has been foreordained by a God or by fate
8422,Predicament,"difficult, unpleasant, or embarrassing situation"
8423,Predicated,founded upon a belief or argument
8424,Predict,to foretell what will happen next or in the future
8425,Predictability,the degree to which something can be guessed or forecasted
8426,Prediction,a forecast of what will most likely take place in the future
8427,Predilection,a preference for something; a strong liking
8428,Predisposed,to be inclined to act in a certain way or have a certain condition
8429,Predisposition,the circumstance of being vulnerable to a particular thing
8430,Predominance,"the state of being greater in frequency, number, strength, or authority than something or someone else"
8431,Predominant,being the main thing or issue
8432,Predominate ,to be the main component of something
8433,Preeminent,better than others
8434,Preempt,to take steps to prevent something from happening
8435,Preemptive,a step taken to prevent an undesirable action
8436,Preen,to groom or spruce up
8437,Preface,the opening or introduction of a presentation or book
8438,Prefect ,an elected authority figure that typically oversees order and discipline
8439,Preferable,more suitable than other options
8440,Preference,to like something much more than anything similar
8441,Preferential,receiving better treatment
8442,Preferred,liked or favored over other choices
8443,Prefix,a partial word or number affixed to the beginning of a word or number to either complete the word or alter the meaning
8444,Pregnancy,the period of time in which a fetus is being formed inside the mother’s womb
8445,Pregnant,carrying a child inside your body
8446,Pregnant,a female carrying a developing baby inside body
8447,Prehensile,able to take hold of and clasp objects
8448,Prehistoric ,relating to the time before history was written down
8449,Prejudge,to form a judgement beforehand without sufficient evidence
8450,Prejudice,hatred directed at a particular culture or group or at a specific individual
8451,Prejudiced,having a negative opinion about someone or a situation not based on reason or experience
8452,Prejudicial,"something that can cause a negative result, harm, or prevent success of a project or activity"
8453,Preliminary,in preparation for the main matter
8454,Prelude,that which precedes another event
8455,Premature,early; untimely
8456,Premeditated,planned in advance
8457,Premier,to be the leading or primary element of a group of something
8458,Premise,a statement that gives weight to a conclusion
8459,Premium,an amount to be paid for an insurance policy
8460,Premonition,"an intense feeling something is about to occur, generally a negative event"
8461,Prenatal,being or happening before birth
8462,Preoccupation,distraction
8463,Preoccupied,to become obsessed or completely concerned with something
8464,Preparation,getting something ready or organized
8465,Preparatory,designed to prepare for another task
8466,Preponderance,a larger figure or amount
8467,Preponderant,blatantly influential and powerful
8468,Prepossessing,being appealing to others
8469,Preposterous,"contrary to nature, reason, or common sense"
8470,Prerogative,"a special right, power, or privilege"
8471,Presage,to give a warning something unpleasant may occur in the future
8472,Prescience,the capacity to know future events
8473,Prescient,having or showing knowledge of events before they take place
8474,Prescribe,doctor to give someone medication or some other kind of treatment
8475,Prescript,a rule or regulation of conduct
8476,Prescription,an instruction written by a medical practitioner that allows a patient to be given a medicine or treatment
8477,Presence,"the state of being present, or of being within sight or call, or at hand"
8478,Present-day,of the current time period
8479,Present,"here, in a particular place"
8480,Presentation,a performance or demonstration usually involving factual or persuasive information
